
============================================================
QUANTUM ALPHA V1 - BACKTEST
============================================================
Symbols: ['FULL']
Period: 2006-01-01 to 2026-01-01
Capital: $10,000
Strategy: enhanced
============================================================

Core sleeve anchored to quant composite: {'QQQ': 0.5, 'IWM': 0.5}
Collecting price data...
  PAYC: 2947 bars
  PAYX: 5031 bars
  PB: 5031 bars
  PBF: 3282 bars
  PCAR: 5031 bars
  PCG: 5031 bars
  PCTY: 2966 bars
  PEG: 5031 bars
  PEGA: 5031 bars
  PEN: 2587 bars
  PEP: 5031 bars
  PFE: 5031 bars
  PFG: 5031 bars
  PFGC: 2579 bars
  PG: 5031 bars
  PGR: 5031 bars
  PH: 5031 bars
  PHM: 5031 bars
  PII: 5031 bars
  PINS: 1686 bars
  PK: 2261 bars
  PKG: 5031 bars
  PLD: 5031 bars
  PLNT: 2617 bars
  PLTR: 1320 bars
  PM: 4478 bars
  PNC: 5031 bars
  PNFP: 5031 bars
  PNR: 5031 bars
  PNW: 5031 bars
  PODD: 4689 bars
  POOL: 5031 bars
  POR: 4970 bars
  POST: 3503 bars
  PPC: 5031 bars
  PPG: 5031 bars
  PPL: 5031 bars
  PR: 2443 bars
  PRI: 3963 bars
  PRU: 5031 bars
  PSA: 5031 bars
  PSKY: 5031 bars
  PSN: 1673 bars
  PSTG: 2575 bars
  PSX: 3451 bars
  PTC: 5031 bars
  PVH: 5031 bars
  PWR: 5031 bars
  PYPL: 2640 bars
  Q: 46 bars
  QCOM: 5031 bars
  QLYS: 3333 bars
  R: 5031 bars
  RBA: 5031 bars
  RBC: 5031 bars
  RCL: 5031 bars
  REG: 5031 bars
  REGN: 5031 bars
  REXR: 3133 bars
  RF: 5031 bars
  RGA: 4353 bars
  RGEN: 5031 bars
  RGLD: 5031 bars
  RH: 3310 bars
  RJF: 5031 bars
  RL: 5031 bars
  RLI: 5031 bars
  RMBS: 5031 bars
  RMD: 5031 bars
  RNR: 5031 bars
  ROIV: 1272 bars
  ROK: 5031 bars
  ROL: 5031 bars
  ROP: 5031 bars
  ROST: 5031 bars
  RPM: 5031 bars
  RRC: 5031 bars
  RRX: 5031 bars
  RS: 5031 bars
  RSG: 5031 bars
  RTX: 5031 bars
  RVTY: 5031 bars
  RYAN: 1117 bars
  RYN: 5031 bars
  SAIA: 5031 bars
  SAIC: 3093 bars
  SAM: 5031 bars
  SARO: 313 bars
  SATS: 4529 bars
  SBAC: 5031 bars
  SBRA: 5031 bars
  SBUX: 5031 bars
  SCHW: 5031 bars
  SCI: 5031 bars
  SEIC: 5031 bars
  SF: 5031 bars
  SFM: 3124 bars
  SGI: 5031 bars
  SHC: 1283 bars
  SHW: 5031 bars
  SIGI: 5031 bars
  SJM: 5031 bars
  SLAB: 5031 bars
  SLB: 5031 bars
  SLGN: 5031 bars
  SLM: 5031 bars
  SMCI: 4721 bars
  SMG: 5031 bars
  SNA: 5031 bars
  SNDK: 222 bars
  SNPS: 5031 bars
  SNX: 5031 bars
  SO: 5031 bars
  SOLV: 444 bars
  SON: 5031 bars
  SPG: 5031 bars
  SPGI: 5031 bars
  SPXC: 5031 bars
  SR: 5031 bars
  SRE: 5031 bars
  SSB: 5031 bars
  SSD: 5031 bars
  ST: 3978 bars
  STAG: 3700 bars
  STE: 5031 bars
  STLD: 5031 bars
  STRL: 5031 bars
  STT: 5031 bars
  STWD: 4123 bars
  STX: 5031 bars
  STZ: 5031 bars
  SW: 4414 bars
  SWK: 5031 bars
  SWKS: 5031 bars
  SWX: 5031 bars
  SYF: 2873 bars
  SYK: 5031 bars
  SYNA: 5031 bars
  SYY: 5031 bars
  T: 5031 bars
  TAP: 5031 bars
  TCBI: 5031 bars
  TDG: 4982 bars
  TDY: 5031 bars
  TECH: 5031 bars
  TEL: 4668 bars
  TER: 5031 bars
  TEX: 5031 bars
  TFC: 5031 bars
  TGT: 5031 bars
  THC: 5031 bars
  THG: 5031 bars
  THO: 5031 bars
  TJX: 5031 bars
  TKO: 5031 bars
