candidate,score,signal_threshold,top_k,hold_days,confidence,full_ann_model,full_ann_ew,full_ann_spy,full_ann_quant,full_excess_vs_quant,full_max_drawdown,full_beta_vs_quant,full_information_ratio_vs_quant,constraints_passed,recent_ann_model,recent_ann_ew,recent_ann_spy,recent_ann_quant
94,-100.20199006846292,0.53,20,10,0.0,0.14326907158875124,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0005189654368511487,-0.3133452372157437,-0.06893329905107348,-0.0017830308102219819,False,0.17800189111714926,0.17146495497408254,0.15059382158940426,0.150355157213927
105,-100.20199006846292,0.53,25,10,0.05,0.14326907158875124,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0005189654368511487,-0.3133452372157437,-0.06893329905107348,-0.0017830308102219819,False,0.17800189111714926,0.17146495497408254,0.15059382158940426,0.150355157213927
95,-100.20199006846292,0.53,20,10,0.03,0.14326907158875124,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0005189654368511487,-0.3133452372157437,-0.06893329905107348,-0.0017830308102219819,False,0.17800189111714926,0.17146495497408254,0.15059382158940426,0.150355157213927
96,-100.20199006846292,0.53,20,10,0.05,0.14326907158875124,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0005189654368511487,-0.3133452372157437,-0.06893329905107348,-0.0017830308102219819,False,0.17800189111714926,0.17146495497408254,0.15059382158940426,0.150355157213927
116,-100.20726933559216,0.55,10,15,0.03,0.16200266791949813,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.018214630893895745,-0.34377780426171367,-0.07490486498736552,0.0605834768499873,False,0.1581333025951348,0.17146495497408254,0.15059382158940426,0.150355157213927
115,-100.20726933559216,0.55,10,15,0.0,0.16200266791949813,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.018214630893895745,-0.34377780426171367,-0.07490486498736552,0.0605834768499873,False,0.1581333025951348,0.17146495497408254,0.15059382158940426,0.150355157213927
117,-100.20726933559216,0.55,10,15,0.05,0.16200266791949813,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.018214630893895745,-0.34377780426171367,-0.07490486498736552,0.0605834768499873,False,0.1581333025951348,0.17146495497408254,0.15059382158940426,0.150355157213927
13,-100.2087407624934,0.5,15,10,0.0,0.14706677665023205,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.0032787396246296563,-0.30788939688180705,-0.08020057720578155,0.011235167096618285,False,0.1672382169658433,0.17146495497408254,0.15059382158940426,0.150355157213927
43,-100.2160068050337,0.52,10,15,0.0,0.15827771592675277,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.014489678901150382,-0.31952396249574044,-0.07670188040086205,0.049086345415704044,False,0.16173453947838845,0.17146495497408254,0.15059382158940426,0.150355157213927
44,-100.2160068050337,0.52,10,15,0.03,0.15827771592675277,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.014489678901150382,-0.31952396249574044,-0.07670188040086205,0.049086345415704044,False,0.16173453947838845,0.17146495497408254,0.15059382158940426,0.150355157213927
80,-100.25616164694027,0.53,10,15,0.03,0.14807340640507372,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.004285369379471327,-0.3198834811929726,-0.0779523855938041,0.01459487072598064,False,0.1308405083730999,0.17146495497408254,0.15059382158940426,0.150355157213927
79,-100.25616164694027,0.53,10,15,0.0,0.14807340640507372,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.004285369379471327,-0.3198834811929726,-0.0779523855938041,0.01459487072598064,False,0.1308405083730999,0.17146495497408254,0.15059382158940426,0.150355157213927
81,-100.25616164694027,0.53,10,15,0.05,0.14807340640507372,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.004285369379471327,-0.3198834811929726,-0.0779523855938041,0.01459487072598064,False,0.1308405083730999,0.17146495497408254,0.15059382158940426,0.150355157213927
31,-100.28096846308074,0.5,25,10,0.0,0.13994425648254816,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0038437805430542316,-0.3202844206919878,-0.08135466027856743,-0.01317116437852131,False,0.14920597303262695,0.17146495497408254,0.15059382158940426,0.150355157213927
22,-100.28096846308074,0.5,20,10,0.0,0.13994425648254816,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0038437805430542316,-0.3202844206919878,-0.08135466027856743,-0.01317116437852131,False,0.14920597303262695,0.17146495497408254,0.15059382158940426,0.150355157213927
5,-100.29548114040847,0.5,10,10,0.03,0.1389535228311971,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.004834514194405282,-0.33541219577532233,-0.07440297976919497,-0.01637402936587994,False,0.16945841912371495,0.17146495497408254,0.15059382158940426,0.150355157213927
51,-100.30631846874576,0.52,15,10,0.05,0.12990995205051092,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.013878084975091465,-0.3348658345280404,-0.060991261087412846,-0.047663675342709724,False,0.1905374629425498,0.17146495497408254,0.15059382158940426,0.150355157213927
15,-100.30631846874576,0.5,15,10,0.05,0.12990995205051092,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.013878084975091465,-0.3348658345280404,-0.060991261087412846,-0.047663675342709724,False,0.1905374629425498,0.17146495497408254,0.15059382158940426,0.150355157213927
14,-100.31097936793432,0.5,15,10,0.03,0.13698501170040278,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0068030253251996076,-0.30788939688180716,-0.07446591001176263,-0.02326378632009062,False,0.1770171641767222,0.17146495497408254,0.15059382158940426,0.150355157213927
6,-100.33394929128417,0.5,10,10,0.05,0.12768576161236278,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01610227541323961,-0.33541219577532233,-0.06025284521229429,-0.0548483249650599,False,0.17666920652105866,0.17146495497408254,0.15059382158940426,0.150355157213927
42,-100.33394929128417,0.52,10,10,0.05,0.12768576161236278,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01610227541323961,-0.33541219577532233,-0.06025284521229429,-0.0548483249650599,False,0.17666920652105866,0.17146495497408254,0.15059382158940426,0.150355157213927
8,-100.34558000254006,0.5,10,15,0.03,0.14759037901006056,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.0038023419844581685,-0.31952396249574067,-0.07794833708094323,0.012865354978724921,False,0.15032714651194312,0.17146495497408254,0.15059382158940426,0.150355157213927
34,-100.41150085753746,0.5,25,15,0.0,0.13341337911603235,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01037465790957004,-0.3234866236051742,-0.08045486654044923,-0.03628067340055329,False,0.0877134356101108,0.17146495497408254,0.15059382158940426,0.150355157213927
25,-100.41150085753746,0.5,20,15,0.0,0.13341337911603235,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01037465790957004,-0.3234866236051742,-0.08045486654044923,-0.03628067340055329,False,0.0877134356101108,0.17146495497408254,0.15059382158940426,0.150355157213927
16,-100.41591269908821,0.5,15,15,0.0,0.12963907517934037,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01414896184626202,-0.3090926229165444,-0.07683946768118105,-0.04937824061019017,False,0.09926165940623055,0.17146495497408254,0.15059382158940426,0.150355157213927
32,-100.43039039075543,0.5,25,10,0.03,0.12569807283596224,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01808996418964015,-0.3202844206919876,-0.07566621774815088,-0.06178914464845309,False,0.15529180884600424,0.17146495497408254,0.15059382158940426,0.150355157213927
23,-100.43039039075543,0.5,20,10,0.03,0.12569807283596224,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01808996418964015,-0.3202844206919876,-0.07566621774815088,-0.06178914464845309,False,0.15529180884600424,0.17146495497408254,0.15059382158940426,0.150355157213927
52,-100.4602053015428,0.52,15,15,0.0,0.13532159325157833,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.008466443774024057,-0.3090926229165445,-0.07853188883880062,-0.028997354357013564,False,0.14339906796224167,0.17146495497408254,0.15059382158940426,0.150355157213927
